,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Warranty,Hazardous,Sector,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Diameter,Material,Feature 4,Feature 5,Feature 6,Attachment 3,Attachment 4
0,PD30444,Croydex Profile 800 shower rail 1830mm Silver,Croydex,32.2,"The lightweight and strong 1830mm Croydex Profile 800 straight shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex Profile 800 shower rail 1830mm Silver,,Straight shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/44/UP-D30444_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,,,,,,,,,,,,,,,,,,,
1,PD30247,Croydex textile shower curtain 2000 x 2000mm White,Croydex,12.11,"Designed for long-lasting use, this Croydex clean, bright white 2M shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex textile shower curtain 2000 x 2000mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/47/UP-D30247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,
2,PD12201,Saracen textile shower curtain 1800 x 1800mm White,Saracen,23.14,"Saracen textile shower curtain has two sides, one that keeps water where the user want it and another that adds a touch of character to the bathroom.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen textile shower curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/01/NW-D12201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12201_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,
3,PD12215,Saracen universal shower rail kit,Saracen,56.07,Saracen shower rail kit completes with ceiling support.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen universal shower rail kit,,Shower railCeiling supportHooksGlidersFixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/15/NW-D12215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12215_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12215_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,
4,PD30027,Croydex bendy shower rail 3000mm White,Croydex,66.6,"This 3M Croydex white bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex bendy shower rail 3000mm White,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/27/UP-D30027_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,,,,,,,,,,,,,
5,PD30253,Croydex high performance shower curtain White,Croydex,24.5,"Designed for long-lasting use, this Croydex clean, bright white shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex high performance shower curtain White,,Shower curtain;Polybag with C hook,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/53/UP-D30253_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,
6,PD30024,Croydex bendy shower rail 2500mm White,Croydex,56.04,"This 2.5M Croydex white bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex bendy shower rail 2500mm White,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/UP-D30024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,,,,,,,,,,,,,
7,PD12207,Saracen angled rail 1675 x 760mm Silver,Saracen,45.6,Saracen angled rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen angled rail 1675 x 760mm Silver,,Angled railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12207_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12207_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,
8,PD12204,Saracen long drop textile curtain 1800 x 2000mm White,Saracen,27.34,"Saracen long drop textile curtain has two sides, one that keeps water where the user want it and another that adds a touch of character to the bathroom.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen long drop textile curtain 1800 x 2000mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/04/NW-D12204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12204_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,
9,PD12208,Saracen straight rail 1830mm Silver,Saracen,30.32,Saracen straight rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen straight rail 1830mm Silver,,Straight railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12208_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12208_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,
