,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PD59226,Mira Logic clamp bracket assembly White,Mira,15.73,"This durable, white Mira clamp bracket is made from high quality materials and is designed for use with the Mira Logic 22mm slide bar.",Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Mira Logic clamp bracket assembly White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/26/NW-D59226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,
1,PD59227,Mira Logic clamp bracket assembly Chrome Plated,Mira,21.62,"This durable, chrome Mira clamp bracket is made from high quality materials and is designed for use with the Mira Logic 22mm slide bar.",Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Mira Logic clamp bracket assembly Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/27/NW-D59227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,
2,PA05056,* NAB SQ WALL OUTLET WITH HANDSET HOLDER,Nabis,12.86,This Nabis square wall outlet is made of brass with a chrome finish.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> * NAB SQ WALL OUTLET WITH HANDSET HOLDER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/56/NW-A05056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Nabis_Round_Squar_Wall_Outlet_Instal.pdf
3,PQ52965,Hansgrohe Porter wall support Chrome Plated,Hansgrohe,39.47,A Hansgrohe Porter chrome wall shower holder for hoses with conical nuts.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Hansgrohe Porter wall support Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/65/NW-Q52965_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_27521000_instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_27521000_Technical.pdf
4,PA05055,* NAB ROUND WALL OUTLET & HANDSET HOLDER,Nabis,11.78,This Nabis round wall outlet is made of brass with a chrome finish and includes a useful handset holder.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> * NAB ROUND WALL OUTLET & HANDSET HOLDER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/55/NW-A05055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Nabis_Round_Squar_Wall_Outlet_Instal.pdf
5,PC45251,Bristan retaining bracket,Bristan,5.16,This Bristan shower hose retaining bracket has a chrome finish to suit most bathrooms.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Bristan retaining bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/51/NW-C45251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,
6,PA05060,* CENTER PUSH BUTTON SLIDER BRACKET,Center CB,2.58,A Center CB shower rail slider bracket for simple height and angle adjustment of your showerhead.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> * CENTER PUSH BUTTON SLIDER BRACKET,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/60/NW-A05060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,
7,PD66502,Mira clamp bracket,Mira,25.53,"This Mira showerhead holder is designed specifically for flat slide rails such as those supplied with Mira Advance, Element and Starglide.",Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Mira clamp bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/02/NW-D66502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,
8,PC98087,Ideal Standard Fast Fix fast fix wall bracket with 2 suit valves,Ideal Standard,49.27,An Ideal Standard Fast Fix wall bracket for bar valves with 150mm pipe centres.,Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Ideal Standard Fast Fix fast fix wall bracket with 2 suit valves,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/87/NW-C98087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,
9,PD51391,Aqualisa Midas MD300EFB concealed fitting bracket,Aqualisa,43.32,"Helping to remove the stress of fitting a fiddly shower, this useful Aqualisa Midas concealed fitting bracket ensures purchase for a valve by providing sufficient thread length from a finished wall surface after the shower cover plates are fitted.",Showering/Shower Parts and Accessories/Shower Brackets/Shower Brackets.csv -> Aqualisa Midas MD300EFB concealed fitting bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/91/NW-D51391_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Midas_110-220_Installation.pdf,
