,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,P830289,Regin safety warning - do not use sticker/tag,Regin,4.26,"These Regin Danger Do Not Use adhesive stickers/labels provide a clear message that an appliance or installation is unsafe, helping engineers to fulfil the requirements of the Gas Safety (Installation and Use) Regulations 1998, which ensures responsible persons or owners of a premises or appliance are notified or informed of safety defects and dangers.",Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin safety warning - do not use sticker/tag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/89/NW-830289_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
1,P457223,Regin REGP55 warning notice pad,Regin,6.71,This Regin warning notice pad contains 50 report sheets printed in duplicate.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin REGP55 warning notice pad,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/23/NW-457223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
2,P457190,Regin REGP45 landlords safety record,Regin,5.63,This Regin 25 sheet triplicate gas safety record pad is designed for recording gas safety inspection checks.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin REGP45 landlords safety record,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/90/NW-457190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
3,P459215,Regin REGP46 gas safety/lanchorlords certificate pad,Regin,6.74,This Regin 25 page triplicate certificate pad is designed for recording gas safety inspection information.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin REGP46 gas safety/lanchorlords certificate pad,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/15/NW-459215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
4,P457267,Regin REGP65 maintenance check list pad,Regin,8.47,"Designed for recording maintenance and service works, this Regin maintenance service pad contains 50 report sheets printed in duplicate.",Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin REGP65 maintenance check list pad,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/67/NW-457267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
5,P800453,Regin REGPC1 commercial servicing/commissioning pad,Regin,9.16,This Regin 50 page duplicate commissioning pad is designed for recording servicing and commissioning checks and tests.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin REGPC1 commercial servicing/commissioning pad,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/53/NW-800453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
6,P689195,Advanced Engineering AC-Pro breakdown reports (50),Advanced Engineering,20.52,"Present a professional image with Advanced Engineering AC-Pro pack of 50 report sheets, an efficient record management system. These reporting sheets allow you to keep efficient and accurate records and provide clients, particularly those concerned about their legal F-Gas duties, peace of mind.",Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Advanced Engineering AC-Pro breakdown reports (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/95/NW-689195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced-Engineering_AC-Pro_Tech.pdf
7,P459201,Regin uncommissioned appliance tag,Regin,7.61,These Regin appliance tags are used to identify uncommissioned gas appliances and installations.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin uncommissioned appliance tag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/01/NW-459201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
8,P689197,Advanced Engineering AC-Pro service reports pad (50),Advanced Engineering,21.83,"Present a professional image with Advanced Engineering AC-Pro pack of 50 report sheets, an efficient record management system. These reporting sheets allow you to keep efficient and accurate records and provide clients, particularly those concerned about their legal F-Gas duties, peace of mind.",Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Advanced Engineering AC-Pro service reports pad (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/97/NW-689197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced-Engineering_AC-Pro_Tech.pdf
9,P689076,Advanced Engineering AC-Pro commissioning reports (50),Advanced Engineering,20.52,"Present a professional image with Advanced Engineering AC-Pro pack of 50 report sheets, an efficient record management system. These reporting sheets allow you to keep efficient and accurate records and provide clients, particularly those concerned about their legal F-Gas duties, peace of mind.",Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Advanced Engineering AC-Pro commissioning reports (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/76/NW-689076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced-Engineering_AC-Pro_Tech.pdf
10,P459216,Regin electrical bonding sticker (Pack of 8),Regin,3.79,These Regin electrical bonding stickers are intended for use on appliances where it is required to warn of a lack of equipotential cross bonding in gas installations.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin electrical bonding sticker (Pack of 8),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/16/NW-459216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
11,P457215,Regin flammable/do not block warning compartment sticker,Regin,3.04,These Regin compartment warning stickers warn of the dangers of blocking ventilation and of storing items in compartments and airing cupboards.,Trade Essentials/Health and Safety Signage/Health and Safety Signage.csv -> Regin flammable/do not block warning compartment sticker,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/15/NW-457215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,
