,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection Size,Operator Type,Type,Colour,Connection Type,Material Type,Warranty,Material,Size,Range,Body Material,Grade,Diameter,Operating Temperature,Feature 7,Feature 8,Finish,Length (M),Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Connection Type 1,Connection Type 2,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Seat Material,Weight,Thickness,Single / Double,Thread Size,Standards,Number of Ports,Seal Material,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15
0,P414115,"Center CB pump gate valve 22mm x 1.1/2"" Brass",Center CB,6.99,"Made of brass, this Center CB 22mm x 1 1/2"" gate valve offers compression x threaded connections.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB pump gate valve 22mm x 1.1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/16/NW-414115_414116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414115_414116_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414115_414116_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P414116,"Center CB pump gate valve 28mm x 1 1/2"" Brass (1)",Center CB,6.49,"Made of brass, this Center CB 28mm x 1 1/2"" gate valve offers compression x threaded connections.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB pump gate valve 28mm x 1 1/2"" Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/16/NW-414115_414116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414115_414116_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414115_414116_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P236564,Center CXC lever ball valve 15mm,Center,4.91,"Suitable for use in hot or cold water systems, this Center CB CXC 15mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CXC lever ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/64/236564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P236570,Center Brass Compression Stop Cock 15mm,Center,3.97,"Suitable for use in hot or cold water systems, this Center 15mm compression stop cock is manufactured in robust brass and has a tap handle for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Brass Compression Stop Cock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/70/236570_wm.jpg,,,N,CMTFST-15,N,Brass construction,Compression connection,Tap handle shut-off,Maximum operating pressure 16 bar,Maximum temperature 85°C,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P172121,Midbrass HP (type A) brass plain shank drain cock 15mm,Midbrass,1.79,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 15mm connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midbrass HP (type A) brass plain shank drain cock 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/NW-172121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_Performa_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P236542,Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk,Center,6.99,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15mm x 1/2"" flexible tap connectors with isolation valves can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/42/236542_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236541 236542 236544 Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PU64296,"Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is made of metal.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/96/NW-U64296_wm.jpg,,,N,MBFBVHPP2-D METAL,N,Manufactured in accordance with BS 1212 part 1,12 month warranty,,,,,1/2 inch,Float,Ball Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P250472,Midland Brass full bore isolating valve 15mm,Midland Brass,3.32,"Suitable for use in hot or cold water, this Midland Brass full bore isolating valve is designed for washing machines. It is made of brass with 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass full bore isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/72/NW-250472_wm.jpg,,,N,MBFIVHP-15,N,Maximum working temperature 85°C,Manufactured using CW617N brass,WRAS approved,,,,15mm,Slotted,Full Bore Isolating Valve,Metal/s,Threaded,Brass,1 year,Brass,15 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P236561,Center CXC lever ball valve 22mm,Center,7.49,"Suitable for use in hot or cold water systems, this Center CB CXC 22mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CXC lever ball valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/61/236561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P250454,Midbrass HP quarter-turn positive stop isolating valve 15mm,Midbrass,3.45,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. A quarter turn slot midway rotates and activates shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midbrass HP quarter-turn positive stop isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/54/NW-250454_wm.jpg,,,N,BFIVQ-15W,N,Through-wall connection for bib tap only,Brass construction,Nickel finish,1 year warranty,,,15mm,Slotted,Isolating Valve,,Compression,,,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
