,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Range,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Feature 6,Feature 7,Feature 8,Feature 9,Pack Quantity
0,P419380,Satronic control box 240V,Satronic,55.42,This Satronic TF 832.3 oil burner safety control box controls and monitors oil powered burners up to 30 kg/h in capacity.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic control box 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/80/NW-419379_419380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_TF830-3-832-3_Technical.pdf,,,,,,,,,,,,,,,,,,,
1,P419379,Satronic TF 830.3 control box 240v,Satronic,58.44,This Satronic TF 830.3 oil burner safety control box controls and monitors oil powered burners up to 30 kg/h in capacity.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic TF 830.3 control box 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/80/NW-419379_419380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_TF830-3-832-3_Technical.pdf,,,,,,,,,,,,,,,,,,,
2,P481395,Atkinson brass inserts 10mm,Atkinson,0.67,"Made of copper, this Atkinson pipe insert acts as a strengthening support, allowing a joint made via a compression fitting to be tightened with some force with no risk of crushing. Suitable for 10mm soft copper pipe, the insert forms an airtight seal between the inside diameter of the pipe and the compression fitting.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson brass inserts 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/95/NW-481395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Atkinson_Top_Offtake_Fittng_Instrcts.pdf,,,,,,,,,,,,,,,,,,,
3,P421707,Atkinson Tankmaster plastic filter element,Atkinson,7.06,"Designed for the Mark II Tankmaster, this Atkinson Tankmaster TM4660F replacement filter kit can also be used in a Tankmaster Mark I with the addition of a 2"" cable tie attached around the tube immediately below the filter. The supplied O-ring, designed to fit around the bolt at the bottom of the filter housing, is tapered on one edge and should be fitted with this tapered edge facing up.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster plastic filter element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/07/NW-421707_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Atkinson_Tankmaster_Vlv_Ftg_Instrcts.pdf,,,,,,,,,,,,,,,,,,,
4,P469783,Anglo Nordic Lodge wire electrode 460mm,Anglo Nordic,38.55,"Supplied with a 14mm nut, this Anglo Nordic Lodge IEG electrode measures 2.5 x 460mm.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Anglo Nordic Lodge wire electrode 460mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/83/NW-469783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,
5,P456467,Riello 3001156 control box 530 SE,Riello,98.46,"This Riello control box is used for single stage, two stage and modulating operation in residential, commercial and industrial sectors. It is compatible with R40, G3, G5, G10 and G20 burners.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello 3001156 control box 530 SE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/67/NW-456467_wm.jpg,,N,x  x,"RIELLO 444 T 55,RIELLO 419 T 55,RIELLO 437 T 55,RIELLO 444 T 50,RIELLO 458 T 55,RIELLO 464 T 50,RIELLO 443 T 57/58,RIELLO 459 T 55,RIELLO 422 T 56,RIELLO 443 T 56,RIELLO 464 T 55,RIELLO 437 T 50,RIELLO 424 T 55",87161092600,Control Box,N,ResidentialCommercialIndustrial,"For single stage, two stage and modulating operation",,,,,,,,,,,
6,P796835,"Anglo Nordic oil filter and shut off valve 3/8""",Anglo Nordic,34.65,"Designed with 1/2"" FBSPP x 1"" MBSPT connection ports, this Anglo Nordic 50 micron oil filter and lever action isolation valve has a quarter-turn valve built into the adapter. This provides additional shut-off facility.","Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Anglo Nordic oil filter and shut off valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/35/NW-796835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,
7,P421711,Atkinson Tankmaster sight gauge 6ft,Atkinson,18.42,"Made of aluminium, the Atkinson Tankmaster 6ft sight tube is supplied with an aluminium shield.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster sight gauge 6ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/11/NW-421710_421711_wm.jpg,,N,x  x,,TM4500,Sight Tube,N,,Atkinson spare part,Tankmaster,,,,,,,,,,
8,P421708,"Atkinson Tankmaster adaptor 3.1/2""",Atkinson,9.8,"Made of aluminium, the Atkinson Tankmaster 90mm sight gauge tank extension adapter has a 1"" male BSP connector with back nut at one end and 1/2"" BSP female connection at the other end for connecting either a Tankmaster valve or a push-button sight gauge.","Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster adaptor 3.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/08/NW-421708_wm.jpg,,N,x  x,,TM4545,Adaptor,N,,Atkinson spare part,Tankmaster,,,,,,,,,,
9,P455530,Eogb cherry bomb deodoriser,Eogb,9.41,This Eogb red cherry bomb gel deodoriser has a strong cherry scent to neutralise strong oil odours.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Eogb cherry bomb deodoriser,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/30/NW-455530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Eogb_Cherry_Bomb_Deodorant_SDS.pdf,,,,,,,,,,,,,,,,,,,
10,P448506,Nu-Way NG25 probe,Nu-Way,28.54,A Nuway 250 x 2000 x 150mm probe.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way NG25 probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/06/NW-448506_wm.jpg,,N,x  x,"NDF 60,NDF 50,NDF 85,NDF 150,NGN 25,NDF 100,NGN 15,NDF 35,NDF 125",G06021W,Probe,N,,"Compatible with NGN15 1 Phase, NGN15 1 Phase H/L and NGN15 3 Phase",,"Compatible with NGN15 3 Phase H/L, NGN25 1 Phase and NGN25 1 Phase H/L",Suitable for NGN25 3 Phase and NGN25 3 Phase H/L,,,,,,,,
11,P419519,Nu-Way transformer kit 052F4064,Nu-Way,44.68,A genuine Nuway transformer kit.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way transformer kit 052F4064,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/19/419519_wm.jpg,,N,x  x,,C05043J,Transformer Kit,N,,For use with compact oil/gas burners,,With 2-pole ignition,Offers 33% ED at 60°C,With top or front connection for secondary cables,230V power,,,,,,
12,P455560,Eogb F02-493-B filter element,Eogb,3.69,An Eogb brand filter element.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Eogb F02-493-B filter element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/60/455560_wm.jpg,,N,x  x,,F02-F159 493,Filter Element,N,,Eogb spare,,,,,,,,,,,
13,P448281,Dungs pressure switch,Dungs,59.41,"Suitable for ventilation, furnace and air conditioning use, this Dungs pressure switch is used for switching a circuit on, off or over in response to changes in actual pressure relative to the set reference value. This set reference is adjustable using a setting wheel while the switch's mechanism is designed to respond both to over and underpressure.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Dungs pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/81/448281_wm.jpg,,N,x  x,,C50073Q,Pressure Switch,N,,"Switches on, off or over when set reference value is exceeded or undershot",,Single-acting pressure switch in overpressure range,"G1/8"" pressure connection must not be closed",Test nipple integrated in metal housing,,,,,,,
14,P457118,RIELLO R40 GS20TC GAS & MBDLE 407 3/4,Riello,2187.22,"Part of a wide range of burners to suit all home heating requirements, the Riello R40 GS20 one stage light oil burner is built for efficiency, safety and convenience. Easy to install and adjust, this boiler is designed to be as compact as possible to fit any currently available boiler while operating quietly too.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> RIELLO R40 GS20TC GAS & MBDLE 407 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/18/NW-457117_457118_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40GS20_Installation.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40GS_Gas_Burner_Technical.pdf,,,,,
15,P448629,Nu-Way probe (N99),Nu-Way,113.49,"A Nuway probe suitable for NG9, NG13, NG15, NG25 and A4-1428.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way probe (N99),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/29/NW-448629_wm.jpg,,N,x  x,,P25134N,Probe,N,,"All over the world Nuway are known for reliability, efficiency and performance.",,,,,,,,,,,
