,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Warranty,Hazardous,Depth (mm),Overheat Protection,Pre-Wired,Boiler Section,Boiler Range,Material,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Fuel Type,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,PD71211,Heatrae Sadia Electromax element,Heatrae Sadia,140.05,"This 3kW EPA immersion heater (straight) is for use with Heatrae Sadia Electromax, Electromax ErP, Megaflo HE and Electromax Solar appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Electromax element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/11/D71211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD71220,Heatrae Sadia Electromax immersion element,Heatrae Sadia,140.19,"This immersion heater is for use with Heatrae Sadia Megaflo HE, Electromax ErP, Electromax and Electromax Solar appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Electromax immersion element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/20/D71220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD75043,Heatrae Sadia Multipoint ECO lower immersion heater,Heatrae Sadia,151.35,"A Heatrae Sadia immersion heater designed for the Megaflo eco, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Slimline, Megaflo eco Solar, Megaflo Eco Plus and Megaflo eco SolaReady ranges.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Multipoint ECO lower immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/43/D75043_wm.jpg,,Multipoint Eco,12 Months,N,349,No,No,Control Panel,"Megaflo eco, Megaflo Eco Solar PV Ready inc iBoost & iBuddy, Megaflo Eco Slimline, Megaflo eco Solar, Megaflo Eco Plus, Megaflo eco SolaReady",N/A,740096,"Megaflo Eco Plus 300L Direct,Megaflo Slimline 150L Indirect,Megaflo Eco Plus 400L Indirect,Megaflo Eco Plus 400L Direct,Megaflo Slim,Megaflo Slimline 170L Indirect,Megaflo Slimline 100L Direct,Megaflo Eco Plus 250L Indirect,Megaflo Slimline 120L Indirect",95606988,Immersion Heater,N,N/A,,,,,,,,,,,
3,P468695,Advanced Water Thermowatt TS9 immersion heater 14in x 1-3/4in 3kW,Advanced Water,56.25,"This Advanced Water Thermowatt TS9 3kW immersion heater has a length of 14"" and includes a 1 3/4"" boss.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water Thermowatt TS9 immersion heater 14in x 1-3/4in 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/95/468695_wm.jpg,,Thermowatt,1 year,N,85,Yes,No,,,Incoloy,,,512-255-0011,,N,"With 1 3/4"" boss","14"" length",Incoloy construction,1 year warranty,,,,,,,,
4,P181066,"Tesla TIH 550 incoloy immersion heater and resettable thermostat 27""",Tesla,24.49,"Designed for use in medium-to-hard water areas, this 27"", 3kW Incoloy-copper Tesla TIH550 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 550 incoloy immersion heater and resettable thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/66/181065_181066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P181074,"Tesla TIH 525 copper immersion heater and resettable thermostat 27""",Tesla,20.99,"Designed for use in soft water areas, this 27"", 3kW copper Tesla TIH525 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 525 copper immersion heater and resettable thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/181070_181076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD71050,Heatrae Sadia Megaflo IH 1 immersion heater cap White,Heatrae Sadia,164.99,"This immersion heater is for use with old style (white lid) Heatrae Sadia Megaflo appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Megaflo IH 1 immersion heater cap White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/50/D71050_wm.jpg,,Megaflo,12 Months,N,380,Yes,No,Control Panel,Megaflo,N/A,E39721,"Megaflo with Internal Air Volume,Megaflo without Internal Air Volume",95606920,Immersion Heater,N,N/A,,,,Electric,,,,,,,
7,PD75036,Heatrae Sadia PremierPlus immersion incoloy,Heatrae Sadia,27.34,"This immersion heater is for use with Heatrae Sadia Miscellaneous, Elson Cylinder, utility cupboard hot water heat interface units, Zircon, Coral, Megalife HE, Premier Plus ErP, Heatstore Premier, Main Unvented, Megaflo eco, Megaflo Eco Plus, Megaflo Eco SystemReady SB, CenterStore, Premier Plus, Express, Megaflo Compact, Megaflo Compact Systemfit, Megaflo eco Solar, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Systemfit ErP, Pullin, Megaflo Compact SystemReady, Megaflo, CenterStore Jet, Heatstore, Megaflo eco SolaReady and Megaflo Eco Systemfit ErP (package with Hi-Max Store) appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 p",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia PremierPlus immersion incoloy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/36/D75036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P181332,"Tesla TIH 650 all incoloy immersion heater and radiator thermostat 27""",Tesla,24.92,"Designed for use in medium-to-hard water areas, this 27"", 3kW Incoloy Tesla TIH650 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 650 all incoloy immersion heater and radiator thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/32/181331_181332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD75044,Heatrae Sadia Megaflo upper immersion heater,Heatrae Sadia,151.35,"A Heatrae Sadia immersion heater designed for the Megaflo eco, Megaflo Eco Plus, Megaflo Eco SystemReady SB, Megaflo eco Solar, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Systemfit ErP, Megaflo eco SolaReady and Megaflo Eco Systemfit ErP (package with Hi-Max Store) ranges.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Megaflo upper immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/44/D75044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PD74491,Heatrae Sadia immersion heater,Heatrae Sadia,95.43,"This Heatrae Sadia immersion heater is for use with Main Unvented, CenterStore, Gold, Sapphire Professional Choice Unvented Direct/Indirect, Express, Pullin appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/91/D74491_wm.jpg,,,12 Months,N,50,No,No,Control Panel,"Main Unvented, CenterStore, Gold, Sapphire Professional Choice Unvented Direct/ Indirect, Express, Pullin",N/A,,"100l Unvented Indirect,Unvented 120L Indirect,Solar 300 Direct,Solar 210 Indirect,Solar 190 Indirect,Unvented 170L Indirect,210 Litre Direct,Unvented 210L Indirect,150l Unv,SCS210B Solar Indirect,Solar 300 Indirect,Solar 260 Direct,Unvented 300L Indirect",95606961,Immersion Heater,N,N/A,,,,,,,,,,,
11,P181333,"Tesla Immersion Heaters TIH476PI immersion heater and plug in thermostat 1 3/4"" x 14""",Tesla,42.37,"Designed for use in medium-to-hard water areas, this 14"", 3kW Incoloy Tesla TIH476PI immersion heater is suitable for use in unvented stainless steel cylinders.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla Immersion Heaters TIH476PI immersion heater and plug in thermostat 1 3/4"" x 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/34/181333_181334_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD74627,Heatrae Sadia immersion heater,Heatrae Sadia,92.76,"A Heatrae Sadia immersion heater designed for the Main Unvented, Gold, Express, Sapphire Professional Choice Unvented Direct/Indirect, CenterStore and Pullin ranges.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/27/D74627_wm.jpg,,,12 Months,N,50,Yes,No,Control Panel,"Main Unvented, Gold, Express, Sapphire Professional Choice Unvented Direct/ Indirect, CenterStore, Pullin",N/A,,"170 Litre Direct,Unvented 120L Indirect,Solar 300 Direct,Unvented 250L Indirect,100l Unvented Direct,120l Unvented Direct,Unvented 170L Indirect,210 Litre Direct,150 Litre Direct,150l Unvented Direct,Solar 210 Direct,210l Unvented Indire,120 Litre Direct",95606962,Immersion Heater,N,N/A,,,,,,,,,,,
13,P412215,"Heatrae Sadia Megaflo element 1.3/4"" 3kw",Heatrae Sadia,176.84,"A Baxi branded immersion heater for use with Miscellaneous, Megaflo Eco Plus and Megaflo Eco Plus Flexistor appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Megaflo element 1.3/4"" 3kw",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/15/412215_wm.jpg,,Megaflo,12 Months,N,100,No,No,Control Panel,"Miscellaneous, Megaflo Eco Plus, Megaflo Eco Plus Flexistor",N/A,,"Megaflo Eco Plus 570L Solar,BOSS 400L Direct,Megaflo Eco Plus 250L Direct,Megaflo Eco Plus 570,BOSS 400L Indirect Solar,Megaflo Eco Plus 570L Direct,Megaflo Eco Plus 400L Direct,Megaflo Eco Plus 570L Indirect,BOSS 570L Direct",95602030,Immersion Heater,N,N/A,,,,,,,,,,,
14,P181065,"Tesla TIH 540 incoloy immersion heater and resettable thermostat 11""",Tesla,20.99,"Designed for use in medium-to-hard water areas, this 11"", 3kW Incoloy-copper Tesla TIH540 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 540 incoloy immersion heater and resettable thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/66/181065_181066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P470559,Oso Hotwater Incoloy 71259 single phase immersion heater 3kW,Oso Hotwater,118.65,"Made of a robust incoloy alloy, this 450mm Oso Hotwater 3kW single phase immersion heater offers compatibility with a wide variety of unvented cylinders.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Oso Hotwater Incoloy 71259 single phase immersion heater 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/59/470559_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oso_Hotwater_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
