,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Attachment 3,Connection Size,Connection Type,Pack Quantity,Feature 6,For Use With,Boiler Range
0,P493495,Caleffi Multibloc Multibloc 3/6 BAR W/ LOOSE NUT,Caleffi,65.64,"This Range multibloc 3 to 6 bar inlet control valve is suitable for fitting in Range Tribune HE (Caleffi control gear) cylinders.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Caleffi Multibloc Multibloc 3/6 BAR W/ LOOSE NUT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/95/493495_wm.jpg,Multibloc,N,Control Panel,512-388-0801,Control Valve,N,,,,,,,,,,,,,,
1,P468881,Advanced Water 218-475-0002 pressure temperature relief valve 10bar,Advanced Water,85.97,"This Heatrae Sadia 10 bar temperature and pressure relief valve is compatible with Megaflo HE, Megatech, Elson Cylinder (Olympic Village only) and Megalife cylinders.  A pressure relief valve is designed to safely relieve over pressure.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 218-475-0002 pressure temperature relief valve 10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/81/468881_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,
2,P468716,RWC multibloc inlet control valve 3.5 & 6.0 bar 22mm,RWC,155.01,"Spare valve for use in a boiler's gas assembly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> RWC multibloc inlet control valve 3.5 & 6.0 bar 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/16/468716_wm.jpg,,N,Gas Assembly,520-388-0854,Valve,N,,Reliance Water Controls 1 Piece Multibloc 3.5 Bar Pressure Reducing,6 Bar Pressure Relief Inlet Control Valve,Unvented system control requirement for unvented cylinders,3.5 Bar Pressure Reducer,6 Bar Expansion Relief,,,,,,,,
3,P493472,Gledhill XC007 mixing valve,Gledhill,185.58,"This Gledhill Brawa mixing valve is designed for BoilerMate BP, BoilerMate II, BoilerMate III, PulsaCoil BP, PulsaCoil III and Torrent multi-fuel store cylinders.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Gledhill XC007 mixing valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/72/493472_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gledhill_Boilermaate_BP_Installation.pdf,,,,,,,,,,,,,
4,P143379,Joule Robokit sealed system kit + BR,Joule,98.54,This Joule Robokit sealed system kit includes a vessel and bracket for ease of installation.,Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Joule Robokit sealed system kit + BR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/79/143379_wm.jpg,Robokit,N,,HMPYK-00000012,Cylinder Parts and Accessories,N,,12L capacity,For sealed system use,,,,,,,,,,,
5,P493480,Advanced Water 366-147-0251 potable expansion vessel 25ltr,Advanced Water,128.12,"This McDonald 25L potable expansion vessel is suitable for use with McDonald Engineers Powerflow 2000 copper cylinders.   A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 366-147-0251 potable expansion vessel 25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/80/493480_wm.jpg,,N,Expansion Vessel,366-147-0251,Expansion Vessel,N,,,,,,,,,,,,,,
6,P468890,"Advanced Water Premier Plus, Megaflo, Megaflo HE, Megatech, Megalife Solar, Megalife 218-583-0052 rod type thermostat 11""",Advanced Water,48.18,"This Heatrae Sadia 11"" TSE rod type thermostat features a safety cut-out and adjustable trip. It is suitable for Megaflo with internal air gap and Megaflo 70L as well as Premier Plus, Megaflo HE, Megatech, Megalife Solar, Megalife units.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.","Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water Premier Plus, Megaflo, Megaflo HE, Megatech, Megalife Solar, Megalife 218-583-0052 rod type thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/90/468890_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_Acrobat_Installation.pdf,,,,,,,,,,,,,
7,P470542,Oso Hotwater Multibloc 510511 multibloc,Oso Hotwater,171.98,"This easy-install Oso Hotwater Multibloc inlet control valve is compatible with a range of Oso's unvented cylinders, including those in the brand's Ecoline and Slimline ranges.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Oso Hotwater Multibloc 510511 multibloc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/42/470542_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oso_Hotwater_Multibloc_Brochure.pdf,,,,,,,,,,,,,
8,P493546,Advanced Water 575-475-0701 pressure temperature relief valve,Advanced Water,87.7,"This Telford pressure and temperature relief valve is for use in the brand's Tornado stainless cylinders.  A pressure relief valve is designed to safely relieve over pressure.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 575-475-0701 pressure temperature relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/46/493546_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Telford_Copper-SS_Cylinders_Brochure.pdf,,,,,,,,,,,,,
9,P422417,Ariston 022-475-0012 temperature pressure relief valve cap Red,Ariston,94.41,"This Ariston pressure and temperature relief valve is used to control and limit both the temperature and pressure of water in a domestic storage cylinder. It is designed to fit most Ariston cylinders.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Ariston 022-475-0012 temperature pressure relief valve cap Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/17/422417_wm.jpg,,N,Gas Assembly,022-475-0012,Relief Valve,N,,,,,,,,,,,,,,
