,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Diameter,Pack Quantity,Range,Hazardous,Material,Supplier Product Code,WEEE Compliant,Dimensions (L x W x D),Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,PN51727,Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),Owlett Jaton,3.8,These JCP Premium 7mm brown wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/27/NW-N51727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PN51726,Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),Owlett Jaton,3.07,These JCP Premium 6mm red wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/26/NW-N51726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
2,PS18861,Fischer DuoLine FixTainer DuoPower universal wall plugs 6/8/10mm (210),Fischer,31.6,"Self-activating, these Fischer DuoLine FixTainer DuoPower 6/8/10mm x 30/40/50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of 210, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine FixTainer DuoPower universal wall plugs 6/8/10mm (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/61/S18861_wm.jpg,,,6/8/10mm,210,DuoLine,N,Nylon,536161,N,,,,,,,,,,,,,,,
3,PS18858,Fischer DuoPower 538241 universal wall plug 8x65mm (50),Fischer,5.34,"With self-activating functions, these Fischer DuoPower 8 x 65mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 538241 universal wall plug 8x65mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/58/S18858_wm.jpg,,,,50,DuoPower,N,,538251,N,8 x 65mm,Wall Plug,Pack of 50,Long versions offer additional bite in problematic substrates,"Function zone I, tip spreads in 2x directions for high load bearing in difficult materials","Function zone II, expanding element spreads at 90° angle to zone I and III",Function Zone II provides optimal screw guidance,"Function zone III, back part of plug expands/folds depending on building material",Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,
4,PS18852,Fischer DuoPower 555008 universal wall plug 8x40mm (100),Fischer,5.55,"With self-activating functions, these Fischer DuoPower 8 x 40mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 555008 universal wall plug 8x40mm (100),,100 fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/52/S18852_wm.jpg,,,,100,DuoPower,N,,535455,N,8 x 40mm,Wall Plug,Pack of 25,Short plug length for quick fixing,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,
5,PS18871,Fischer DuoLine DuoPower universal wall plug and screw 10 x 80mm (10),Fischer,9.36,"Self-activating, these Fischer DuoLine DuoPower 10 x 80mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of ten, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 10 x 80mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/71/S18871_wm.jpg,,,10 mm,10,DuoLine,N,Nylon/Steel,538257,N,,,,,,,,,,,,,,,
6,PS18851,Fischer DuoPower 555006 universal wall plug 6x30mm (100),Fischer,3.65,"With self-activating functions, these Fischer DuoPower 6 x 30mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 555006 universal wall plug 6x30mm (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/51/S18851_wm.jpg,,,,100,DuoPower,N,,535453,N,6 x 30mm,Wall Plug,Pack of 25,Short plug length for quick fixing,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,
7,PS18857,Fischer DuoPower 538240 universal wall plug 6x50mm (100),Fischer,7.76,"With self-activating functions, these Fischer DuoPower 6 x 50mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 538240 universal wall plug 6x50mm (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/57/S18857_wm.jpg,,,,100,DuoPower,N,,538250,N,6 x 50mm,Wall Plug,Pack of 100,Long versions offer additional bite in problematic substrates,"Function zone I, tip spreads in 2x directions for high load bearing in difficult materials","Function zone II, expanding element spreads at 90° angle to zone I and III",Function Zone II provides optimal screw guidance,"Function zone III, back part of plug expands/folds depending on building material",Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,
8,PS18870,Fischer DuoLine DuoPower universal wall plug and screw 8 x 65mm (25),Fischer,7.18,"Self-activating, these Fischer DuoLine DuoPower 8 x 65mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of twenty five, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 8 x 65mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/S18870_wm.jpg,,,8 mm,25,DuoLine,N,Nylon/Steel,538256,N,,,,,,,,,,,,,,,
9,PS18872,Fischer DuoLine DuoPower universal wall plug and screw 12 x 60mm (10),Fischer,8.22,"Self-activating, these Fischer DuoLine DuoPower 12 x 60mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of ten, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 12 x 60mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/72/S18872_wm.jpg,,,12 mm,10,DuoLine,N,Nylon/Steel,538258,N,,,,,,,,,,,,,,,
