,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Range,Hazardous,Screw / Bolt Type,Nut Types,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type
0,PC58910,Thomas Dudley tap washer repair kit box,Thomas Dudley,13.36,A black and grey tap washer repair kit box.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> Thomas Dudley tap washer repair kit box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/10/NW-C58910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,
1,P800589,Regin O ring kit metric 404 pieces (404),Regin,24.9,This Regin O-ring kit contains a wide range of high quality nitrile (NBR 70) O-rings in 30 different metric sizes.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> Regin O ring kit metric 404 pieces (404)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/89/NW-800589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,
2,PT87175,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag),JET Range,10.08,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,70,M20,Hexagon,Steel,M20 x 70mm,HTBMET02000070Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
3,PT87152,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag),JET Range,4.96,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,50,M16,Hexagon,Steel,M16 x 50 mm,HTBMET01600050Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
4,PT87179,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag),JET Range,12.84,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,100,M20,Hexagon,Steel,M20 x 100mm,HTBMET02000100Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
5,PT87153,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag),JET Range,5.04,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 55mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,55,M16,Hexagon,Steel,M16 x 55mm,HTBMET01600055Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
6,PT87163,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 130mm (m16) (25 per bag),JET Range,9.26,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 130mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,130,M16,Hexagon,Steel,M16 x 130mm,HTBMET01600130Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
7,PT87158,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m16) (25 per bag),JET Range,6.28,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,80,M16,Hexagon,Steel,M16 x 80mm,HTBMET01600080Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
8,PT87192,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 85mm (m24) (25 per bag),JET Range,14.02,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 85mm (m24) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,85,M24,Hexagon,Steel,M24 x 85mm,HTBMET02400085Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
9,PT87181,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m20) (25 per bag),JET Range,13.78,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/82/NW-T87181_T87182_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,120,M20,Hexagon,Steel,M20 x 120mm,HTBMET02000120Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
