,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Drive,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Dimensions mm (H x W x D),Range,Pack Type,Feature 2,Feature 3,Feature 4,Diameter,Head Type,Feature 5,Attachment 2,Warranty
0,PIS5483,"Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",Unifix,4.16,"Suitable for use in softwood applications, these Unifix TwinQwik 1 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 8mm x 1"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/83/NW-IS5483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
1,PIS5496,"Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",Unifix,8.49,"Suitable for use in softwood applications, these Unifix TwinQwik 2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 10mm x 2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/96/NW-IS5496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
2,PIS5499,"Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",Unifix,7.49,"Suitable for use in softwood applications, these Unifix TwinQwik 3 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 10mm x 3"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
3,PIS5501,"Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",Unifix,9.49,"Suitable for use in softwood applications, these Unifix TwinQwik 4 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 10mm x 4"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/01/NW-IS5501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
4,PIS5494,"Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,7.5,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 10mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
5,PIS5498,"Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",Unifix,6.25,"Suitable for use in softwood applications, these Unifix TwinQwik 2 1/2 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 10mm x 2.1/2"" Zinc Plated (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/NW-IS5498_IS5499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
6,PIS5485,"Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",Unifix,5.75,"Suitable for use in softwood applications, these Unifix TwinQwik 1 1/2 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix countersunk pozi woodscrew 8mm x 1.1/2"" Zinc Plated (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/85/NW-IS5485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
7,PIS5492,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1"" (Pack of 200)",Unifix,8.18,"Suitable for use in softwood applications, these Unifix TwinQwik 1 x 10"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 10mm x 1"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/94/NW-IS5492_IS5494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
8,P457269,"Regin Screws self tapping pozi screw 12.5mm x 8"" (Pack of 20)",Regin,2.48,"A pack of Regin 12.5mm x 8"" self-tapping Pozi drive screws made of steel.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Regin Screws self tapping pozi screw 12.5mm x 8"" (Pack of 20)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/69/NW-457269_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,
9,P400877,Paget self drill hexagon head screw 5.5 x 25mm (Pack of 100),Paget,11.24,A pack of Paget 5.5 x 25mm self-drilling hexagon head screws.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Paget self drill hexagon head screw 5.5 x 25mm (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/77/NW-400877_wm.jpg,,Pack of 100,N,8mm Hex,Steel,5.5X25MM,Screw,N,Pack of 100,,,,,,,,,,,
