,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Model For Use With,Power Supply,Attachment 1,Attachment 2,Warranty,Phase,Feature 3
0,P677799,"Kelvion 261-763-006 / JG1-8 drain connection (BSP) 3/4""",Kelvion,10.99,"A Kelvion Searle 261-763-006/JG1-8 drain with 3/4"" BSP connections.","Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 261-763-006 / JG1-8 drain connection (BSP) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/99/NW-677799_wm.jpg,N,30mm,100465377,Drain Connection Kit,N,Kelvion Searle spare part,Connection: 3/4 inch BSP,,,,,,,
1,P677741,Kelvion defrost heater,Kelvion,119.84,"A Kelvion Searle 230V, 2850W defrost heater for DSR68, DSR83, DSR100 and DSR116.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion defrost heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/41/NW-677741_wm.jpg,N,,100461682,Defrost Heater,N,Heat exchanger spare part,,DSR68DSR83DSR100DSR116,"230 V, 2850 W",,,,,
2,P677798,Kelvion JG1-8 drain connection gasket,Kelvion,2.2,A Kelvion Searle JG1-8 drain gasket.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion JG1-8 drain connection gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/98/NW-677798_wm.jpg,N,13mm,100465378,Gasket,N,Heat exchanger spare part,,,,,,,,
3,P678125,Beermaster BMO100-550 / 200-404-033 low pressure switch,Beermaster,38.38,"A Beermaster BMO100-550, 200-404-033 black LP switch for use with BMO-100-1, BMO-120-1, BMO-120-1, BMO-150-1/3, BMO-150-1/3, BMO-150-1/3, BMO-200-1/3, BMO-200-1/3, BMO-250-1/3, BMO-250-1/3, BMO-300-1/3, BMO-300-1/3, BMO-300-1/3, BMO-350-3, BMO-450-3 and BMO-550-3.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster BMO100-550 / 200-404-033 low pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/25/NW-678125_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
4,P681935,Beermaster BMI407-69-133 heater assembly 2kW,Beermaster,284.89,"This Beermaster BMI407-69-133 2kW heater assembly is compatible with BMIE407-69, BMIE407-89, BMIE407-104 and BMIE407-133.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster BMI407-69-133 heater assembly 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/NW-681935_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
5,P677973,Kelvion 215-410-401 drain pan heater,Kelvion,37.66,"The Kelvion Searle 215-410-401 110V, 335W drain pan heater fits pre-1998 KM80 and KM95 models with square fan guards.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 215-410-401 drain pan heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/73/NW-677973_wm.jpg,N,,100461707,Drain Pan Heater,N,To fit KM80 and KM95 (pre 1998 - square fan guards),Models with square fan guards,KM80KM95,"110 V, 335 W",,,,,
6,P678306,Kelvion 215-261-080 coil heater,Kelvion,81.36,"The Kelvion Searle 215-261-080 230V, 1060W coil heater fits post-1998 KME80 and KME95 models with round fan guards.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 215-261-080 coil heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/06/NW-678306_wm.jpg,N,,100461675,Heater,N,To fit KM8095 (from 1998 - round fan guards),Models with round fan guards,KME80KME95,"230 V, 1060 W",,,,,
7,P684223,Beermaster BMO100-300 acoustic kit (1 fan system),Beermaster,331.79,"The Beermaster BMO100-300 acoustic kit is designed for BMO 100 to 300 condensing unit models, supplying minimised sound pressure levels. With reductions up to 6 dB(A) at 10M, when running the fan at minimum speed, this noise-supressing kit includes fan speed controller and acoustic lining for the compressor compartment.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster BMO100-300 acoustic kit (1 fan system),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/23/NW-684223_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,
8,P681662,Beermaster solenoid valve coil,Beermaster,55.4,"A Beermaster BME solenoid valve coil for use with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster solenoid valve coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/62/NW-681662_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
9,P681660,Beermaster 200-403-023 series solenoid valve,Beermaster,139.1,"This Beermaster BME Series 200-403-023 solenoid valve is compatible with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster 200-403-023 series solenoid valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/60/NW-681660_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
10,P682272,Kelvion end cover,Kelvion,20.77,A Kelvion Searle end cover for all KEC models.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion end cover,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/72/NW-682272_wm.jpg,N,,100458625,End Cover,N,Suitable for use with all models,,KEC,,,,,,
11,P675879,Kelvion ceiling mounted defrost kit,Kelvion,40.81,"This Kelvion Searle 1P ceiling-mounted defrost kit includes a heater element, terminal block and clips. Designed to convert coolers to electric defrost, this product is compatible with TG and TEC2 models.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion ceiling mounted defrost kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/79/NW-675879_wm.jpg,N,,100513681,Defrost Kit,N,Comprises heater element,Terminal block and clips,TGTEC2,1P,,,1 year,Single Phase,To convert TEC cooler to electric defrost
12,P681687,Beermaster fan set,Beermaster,666.85,This Beermaster 1P fan set offers reduced noise during operation and high levels of efficiency.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster fan set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/87/NW-681687_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
13,P683987,Danfoss Optyma Slim and Plus 118U5219 condenser coil MCHX G7 Aluminium,Danfoss,631.56,This Danfoss Optyma Slim and Plus condenser coil is suitable for B3/H3 models.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Danfoss Optyma Slim and Plus 118U5219 condenser coil MCHX G7 Aluminium,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/87/NW-683987_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,
14,P678019,Kelvion defrost element 1400w,Kelvion,122.89,This Kelvion Searle 1400W defrost element is compatible with TG7 and TG8.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion defrost element 1400w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/19/NW-678019_wm.jpg,N,,100461661,Defrost Element,N,Heat exchanger spare part,,TG7TG8,1400 W,,,,,
15,P677672,Kelvion 210-070-104 capacitor 4mf,Kelvion,48.76,A Kelvion Searle 210-070-104 4µF capacitor.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 210-070-104 capacitor 4mf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/72/NW-677672_wm.jpg,N,10x8x8,100461088,Capacitor,N,Kelvion Searle spare part,4µF capacitor,,,,,,,
