,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Weight,Material Type,Operating Temperature,Range,Warranty,Material,Size,Feature 5,Colour,Seal Material,Diameter
0,PU64304,Midland Brass Y-type strainer 22mm,Midland Brass,9.87,This Midland Brass Y-type strainer is made of tough brass with 22mm threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Midland Brass Y-type strainer 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/04/NW-U64304_wm.jpg,22 mm,Threaded,N,MBFYS-22,Y-Type Strainer,N,Leading supplier,Hardwearing materials,Value for money,Reliable,,,,,,,,,,,,,,,,,
1,PK16533,Crane y-strainer PN16 80mm Cast Iron,Crane,715.26,"Suitable for use with wholesome (potable) water, this Crane FM276 Y-strainer is made of ductile iron with an internal epoxy powder coating and includes 80mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 80mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-K16531_K16538_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_276W_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_FM276_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CI_MI_Bronze_Strainer_Install.pdf,,,,,,,,,,,,,
2,PK30528,Pegler Yorkshire strainer 50mm (BSP) Bronze,Pegler,264.36,"This Pegler Yorkshire Series B V913 Y-strainer is made of gunmetal with 2"" BSP taper female threaded connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer 50mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/28/NW-K30528_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_V913_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_V913_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_Yorkshire_44502915_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,
3,PU64303,Midland Brass Y-type strainer 15mm,Midland Brass,6.72,This Midland Brass Y-type strainer is made of tough brass with 15mm threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Midland Brass Y-type strainer 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/03/NW-U64303_wm.jpg,15mm,Threaded,N,MBFYS-15,Y-Type Strainer,N,Leading supplier,Hardwearing materials,Value for money,Reliable,,,,,,,,,,,,,,,,,
4,PK21410,JET Range strainer (BSP) PN20 32mm Bronze,JET Range,193.98,"This JET Range 98 Y-strainer is made of bronze with 32mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
5,PU64305,Midland Brass Y-strainer 28mm (5),Midland Brass,18.52,This Midland Brass Y-strainer offers a 28mm compression connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Midland Brass Y-strainer 28mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/05/NW-U64305_wm.jpg,28 mm,Compression,N,MBFYS-28,Y-Strainer,N,Y-type strainer,28mm size,,,,,,,,5,0.47400,,,,,,,,,,
6,PK21427,JET Range strainer (PN20) 15mm (BSP) Brass,JET Range,35.11,"This JET Range 96 Y-strainer is made of brass with 15mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 15mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
7,PK21405,JET Range 18 mesh 1000 micron strainer screen 50mm,JET Range,12.89,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 50mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 18 mesh 1000 micron strainer screen 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
8,PK21401,JET Range 18 mesh 1000 micron strainer screen 20mm,JET Range,5.26,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 20mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 18 mesh 1000 micron strainer screen 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
9,PK21414,JET Range strainer (BSP) PN20 80mm Bronze,JET Range,863.64,"This JET Range 98 Y-strainer is made of bronze with 80mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 80mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
10,PK30514,PEGLER V912 CAST IRON PN16 STRAINER  200,Pegler,1867.02,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 200mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> PEGLER V912 CAST IRON PN16 STRAINER  200",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/14/NW-K30512_K30514_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
11,PK30524,Pegler Yorkshire V913 strainer 20mm (BSP) Bronze,Pegler,62.09,"This Pegler V913 20mm BSP Y strainer is constructed in robust bronze. Suitable for a wide range of systems in a variety of settings, this strainer helps to protect a system from the damage that may be caused by debris.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire V913 strainer 20mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/24/K30524_wm.jpg,3/4 in,Threaded,N,15349,Y-Strainer,N,Suitable for use in hospitals and educational premises,Ideal for leisure facilities and hotels,Suitable for multistorey residential buildings,Bronze construction,,,,,,,0.29 kg,Bronze,Up to 150,Yorkshire,5 Years,Bronze,20 mm,,,,
12,PK21419,JET Range 50 mesh 400 micron strainer screen 40mm,JET Range,12.04,"Designed with a 304 stainless steel body, this JET Range 50 mesh 400 micron strainer screen is fitted with 40mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 50 mesh 400 micron strainer screen 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/26/NW-K21415_K21426_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
13,PK21408,JET Range strainer (BSP) PN20 20mm Bronze,JET Range,91.66,"This JET Range 98 Y-strainer is made of bronze with 20mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 20mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
