,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Thickness,Waste Supplied,Bowl Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Depth (mm),Attachment 4,Attachment 5,Flush Type,Warranty,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Fittings Included,Projection Depth,Diameter,Pack Quantity,Sector,Attachment 6,Attachment 7,Attachment 8,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Flow Rate,Min System Pressure Cold (Bar),Pressure (Low / Med / High),Spout Type,Handle Type,Position,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Shape,Capacity Litre,Style,Weight,Mounting Type,Application
0,PT41934,Tradefix complete basin and pedestal 1th,Tradefix,52.51,"A sensible economy buy, the Tradefix 440mm complete basin and pedestal is a ready-to-install pairing designed for ease of specification. Wall-mounted, this sink is supplied with a single taphole for one mixer tap and a pedestal for a neat finish.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Tradefix complete basin and pedestal 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/34/T41934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41934_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB98986,Ideal Standard Contour 21 high standard projected close coupled pan 46cm,Ideal Standard,378.63,"Designed to meet the challenges of commercial use, this Ideal Standard Contour 21 raised height close coupled pan combines water efficiency with high levels of durability and regulatory compliance.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21 high standard projected close coupled pan 46cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/86/NW-B98986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Contour_21_1170_1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PJ23347,Ideal Standard Orbit 21 2 tap hole countertop basin with overflow and chain 550mm White,Ideal Standard,208.41,"The Ideal Standard Orbit 21 550mm countertop washbasin is designed for installation on a vanity or countertop. Built in tough vitreous china, this basin includes two tap holes ready for your choice of taps.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Orbit 21 2 tap hole countertop basin with overflow and chain 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/47/J23347_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/J23347_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PJ23584,Armitage Shanks Contour 21+ doc M back to wall left handed rails Blue,Armitage Shanks,1278.8,"Doc M Contour 21+ back to wall left hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Armitage Shanks Contour 21+ doc M back to wall left handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,,,,Contour 21,N,S0685LI,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD02388,Ideal Standard Sandringham 21 back to wall toilet pan with horizontal outlet White,Ideal Standard,137.7,"Reliably simple, the Ideal Standard Kinloch back-to-wall toilet pan with gravity flush is part of the Sandringham 21 range, providing a smart, streamlined bathroom look and high quality build.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Sandringham 21 back to wall toilet pan with horizontal outlet White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/88/NW-D02388_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Sandringham_21_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PB45298,Center CB steel bath pack White,Center CB,208.95,This Center CB complete bathroom pack includes a pedestal basin and close coupled toilet with 6/3L dual flush along with a Nabis steel bath with hand grips and bolt-oneg set.,Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Center CB steel bath pack White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Centersuite 2012 Suite Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Wolseley_Plumbing_Heating_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PB62101,Ideal Standard Contour 21+ one tap hole basin mixer rim mounted Chrome CU-T,Ideal Standard,437.92,"Designed for one tap hole basins, this Ideal Standard Contour 21+ thermostatic basin mixer has single lever sequential operation to draw both hot and cold water for each use. Fitted with 15mm copper tails and a Laminar flow regulator with anti-vandal housing, this mixer tap also offers a 2LPM eco spray outlet.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21+ one tap hole basin mixer rim mounted Chrome CU-T,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-B62101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Monobloc_BasinTap_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21+_A6697AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PB97267,Ideal Standard Contour 21 seat standard no cover Blue,Ideal Standard,130.62,"Suitable for use in schools, this Ideal Standard Contour 21 top fixing blue toilet seat and cover is manufactured in a highly durable plastic for easy cleaning, hygienic use and reliable durability.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21 seat standard no cover Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/67/NW-B97267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4066_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Contour_21_S4066_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PJ23334,Ideal Standard Profile 21 back to wall bowl horizontal outlet White,Ideal Standard,260.32,"Part of a contemporary, stylish range of bathroom furniture, the Ideal Standard Profile 21 back-to-wall toilet pan is highly durable, standing up to commercial or domestic use.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Profile 21 back to wall bowl horizontal outlet White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/34/NW-J23334_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Profile_21_1867_1_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PB75900,Ideal Standard Birch cleaners sink 455mm White,Ideal Standard,583.97,"The Ideal Standard Birch 460mm cleaner's and laboratory sink with fitted bucket grating is made of robust fireclay with a white glazed finish. Suitable for use in laboratories, public buildings and schools, this sink can be mounted with legs and bearers for easy floor standing installation.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Birch cleaners sink 455mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/00/NW-B75900_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B75900_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
