,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 2,Feature 3
0,P692438,Dena Service Driers 4007A drier with charging valve 1IN,Dena,9.3,"A Dena 1"" drier made of copper.",Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Dena Service Driers 4007A drier with charging valve 1IN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/38/NW-692438_wm.jpg,1/4IN x 1/4IN x 1/4IN,Charging Valve,Service Driers,N,Soldering,Soldering,4007A,Drier,N,Material: copper,,,,,,,
1,P693734,Danfoss DCR-DC 48-DC core with gasket,Danfoss,31.3,"A Danfoss 48 DN/DC 48 cu.inch core with gasket for DCR filter driers. The Eliminator DCR filter drier with interchangeable solid core is suitable for use in liquid and suction lines in refrigeration, freezing and air conditioning systems using fluorinated refrigerants. Block holders can be used in compact units where limited space makes it difficult to insert cores into a DCR filter drier designed for three or four cores. DCR housings undergo phosphate pre-treatment and offer a corrosion-resistant powder-coated finish.",Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCR-DC 48-DC core with gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/34/NW-693734_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCR_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,,,,
2,P693976,"Danfoss DCL DCL164 filter drier flared connection 1/2""",Danfoss,24.2,"This Danfoss Eliminator DCL164 16 cu.inch hermetic filter drier with 1/2"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL164 filter drier flared connection 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/76/NW-693976_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
3,P693973,"Danfoss DCL DCL083 filter drier flared connection 3/8""",Danfoss,18.5,"This Danfoss Eliminator DCL083 8 cu.inch hermetic filter drier with 3/8"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL083 filter drier flared connection 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/73/NW-693973_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
4,P693959,"Danfoss DCL DCL032S filter drier solder connection 1/4""",Danfoss,13.3,"This Danfoss Eliminator DCL032S 3 cu.inch hermetic filter drier with 1/4"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL032S filter drier solder connection 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/59/NW-693959_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
5,P693971,"Danfoss DCL DCL053 filter drier flared connection 3/8""",Danfoss,16.8,"This Danfoss Eliminator DCL053 5 cu.inch hermetic filter drier with 3/8"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL053 filter drier flared connection 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/71/NW-693971_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
6,P693962,"Danfoss DCL DCL083S filter drier solder connection 1/4""",Danfoss,18.5,"This Danfoss Eliminator DCL083S 8 cu.inch hermetic filter drier with 3/8"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL083S filter drier solder connection 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/62/NW-693962_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
7,P693974,"Danfoss DCL DCL084 filter drier flared connection 1/2""",Danfoss,18.5,"This Danfoss Eliminator DCL084 8 cu.inch hermetic filter drier with 1/2"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL084 filter drier flared connection 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/74/NW-693974_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
8,P693968,"Danfoss DCL DCL032 filter drier flared connection 1/4""",Danfoss,13.3,"This Danfoss Eliminator DCL032 3 cu.inch hermetic filter drier with 1/4"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Danfoss DCL DCL032 filter drier flared connection 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/68/NW-693968_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,
9,P691700,"Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",Dena,1.37,"This Dena XH9 drier with 1/4"" inlet and outlet is made of copper with pipe worked at the ends to increase the volume of a refrigerating system. Dena products are available in horizontal and vertical versions, from a minimum diameter of 16mm to a maximum of 76mm.","Parts and Spares/Cooling Parts/Refrigeration Parts and Accessories/Driers/Driers.csv -> Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/00/NW-691699_691700_wm.jpg,Inlet: 1/4Outlet: 1/4,Soldered,,N,15g,Molecular Sieve Beads,FR193PD015/08,Drier,N,The products range from a minimum diameter of 16mm and a maximum of 76mm,,,,,,In both horizontal and vertical versions,With inlet and outlet holes from 1.9 to 12mm
