,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Pack Quantity,For Use With
0,P480879,Broag PCB (PCU-04) with (SU-01),Broag,460.33,"This Broag replacement PCB is compatible with a variety of Remeha (Broag and Baxi) commercial boilers, including the Quinta Pro. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag PCB (PCU-04) with (SU-01),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/79/NW-480879_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S101518,PCB,N,Easy to Replace,High Quality,,,,,,,,
1,P497898,Broag service set (C),Broag,193.83,This Broag service set is suitable for servicing Remeha Commercial (Baxi) Quinta Pro units.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag service set (C),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/98/NW-497898_wm.jpg,1 year,N,x  x,,S101675,Service Set,N,Easy to Replace,High Quality,,,,,,,,
2,P418601,Remeha Broag 310 / 610 gas pro service kit,Remeha,212.3,A handy Remeha Broag maintenance kit for Remeha (Broag and Baxi) boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag 310 / 610 gas pro service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/01/NW-418601_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas_320-620_Ace_Installation.pdf,,,,,,,
3,P478107,Broag gas service kit 110-65kw,Broag,231.22,"A Broag maintenance service kit, without tool, for Remeha Commercial (Baxi) Quinta Eco models.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag gas service kit 110-65kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/07/NW-478107_wm.jpg,1 year,N,x  x,,S100493,Maintenance Service Kit,N,Easy to Replace,High Quality,,Quinta,,,,,,
4,P497897,Broag service set (B),Broag,139.36,This Broag service set is suitable for servicing Remeha Commercial (Baxi) Quinta Pro units.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag service set (B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/97/NW-497897_wm.jpg,1 year,N,x  x,,S101674,Service Set,N,Easy to Replace,High Quality,,,,,,,,
5,P418568,Remeha Broag service kit A,Remeha,96.72,This Remeha Broag service kit is designed for the servicing of Remeha Commercial (Baxi) Gas 220 Ace 160kW and Quinta Ace 160kW.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag service kit A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/68/NW-418568_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Remeha_Spare_Parts_Brochure.pdf,,,,,,,
6,P480892,Broag water pressure sensor,Broag,63.27,A Broag replacement water pressure sensor for Remeha Commercial (Baxi) Quinta Pro and Quinta Ace appliances.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag water pressure sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/92/NW-480892_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S101632,Water Pressure Sensor,N,Easy to Replace,High Quality,,,,,,,,
7,P477811,Remeha Avanta syphon assembly,Remeha,44.05,"A siphon assembly for the heat exchanger of Remeha Avanta boilers.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta syphon assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/11/477811_wm.jpg,1 year,N,,"Profile System ErP 30,Avanta Plus System 18,24 KW System,Avanta Plus Combi 28,Avanta Plus System 24,Avanta Exclusive 39C,Avanta Plus Combi 35,Profile System ErP 24,Avanta Plus Combi 39c,Avanta Exclusive 35C,Avanta Plus System 30,Avanta Plus Eco Combi 28c",S62749,Syphon Assembly,N,,,,Avanta,"Avanta Plus Combi 39, Avanta Plus Combi 35c, Avanta Plus Combi 35, Avanta Plus Combi 39c, Avanta Plus Combi 24, Avanta Plus Combi 24c, Avanta Plus Combi 28, Avanta Plus Combi 28c",Heat Exchanger,Avanta,H39117,,
8,P497899,Broag printed circuit board,Broag,159.75,"A genuine Broag part, this PSU-01 PCB is suitable for a range of Remeha Commercial (Baxi) models. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/99/NW-497899_wm.jpg,1 year,N,x  x,"Gas 310 Eco Pro - 7 Section,310 Eco Pro,Gas 310 Eco Pro - 8 Section,Gas 610 Eco Pro -,Gas 610 Eco Pro - 9 Section,Gas 310 Eco Pro - 5 Section,Gas 310 Eco Pro - 6 Section,Gas 610 Eco Pro - 8 Section,Gas 310 Eco Pro - 9 Section,Gas 310 Eco Pro - 10 Section",S103300,PCB,N,Easy to Replace,High Quality,,,,,,,,
9,P480875,Broag parameter storage unit,Broag,48.36,A Broag PSU-01 parameter storage unit for Quinta Pro boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag parameter storage unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/75/NW-480875_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S101620,Parameter Storage Unit,N,Easy to Replace,High Quality,,,,,,,,
