,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Power Supply,Feature 3,Attachment 2,Attachment 3,Attachment 4,Warranty
0,P690148,Copeland 1 phase crankcase heater 70w,Copeland,72.73,"This Copeland single phase, 70W crankcase heater is for use with zf13-18k zs3ZR22 to ZR81, ZF09 to ZF25, ZB15 to ZB45, ZH15 to ZH45 and ZP41 to ZP91.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland 1 phase crankcase heater 70w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/48/NW-690148_wm.jpg,N,ZR22 to ZR81ZF09 to ZF25ZB15 to ZB45ZH15 to ZH45ZP41 to ZP91,N2CQ18-3LS-DN2CQ22-3LS-DN2CQ26-3LS-DN2CQ30-3LS-DN2CQ30-3MX-DN2CQ36-3LS-DN2CQ38-3MX-DN2CQ42-3MX-DN2CQ52-3MX-DN2CQ60-3MX-DN2CQ90-3MX-E,8561105,Crankcase Heater,N,1 phase,70W,,,,,,,,
1,P680053,Copeland 1 phase assembly,Copeland,490.62,"This Copeland single phase assembly is for use with KJP-10X, DKJ, DKSJ and DKM-100.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland 1 phase assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/53/680053_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Copeland_KJP-10x_Parts_List.pdf,,,,,,,
2,P686484,Whirlpool Aspera electrics (for J9226E and J9226GK),Whirlpool,113.58,These Whirlpool Aspera replacement electrics are suitable for J9226E and J9226GK.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool Aspera electrics (for J9226E and J9226GK),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/84/NW-686484_wm.jpg,N,J9226EJ9226GK,,480181700378,Terminal Box,N,Replacement electrics,,,Aspera,,,,,,
3,P618371,Copeland sensor ambient,Copeland,17.8,This Copeland black ambient sensor is for use in ZX models.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland sensor ambient,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/71/NW-618371_wm.jpg,N,ZX,,3226865,Sensor,N,Black in colour,,,ZX Eazycool,,,,,,
4,P690402,Copeland singlephase run cap 45mfd 50hz,Copeland,67.61,"This Copeland single phase, 475V, 50Hz, 45µF run capacitor is for use with ZP26K3E, ZR28K3E and ZB19.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland singlephase run cap 45mfd 50hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/02/690402_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Copeland_Replacement_Guide.pdf,,,,,,,
5,P611875,Copeland run capacitor 40mfd 440v,Copeland,67.61,"A Copeland 440V, 50Hz, 40µF run capacitor for ZP24KSE-PFZ.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland run capacitor 40mfd 440v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/75/NW-611875_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Copeland_Replacement_Guide.pdf,,,,,,,
6,P688266,Whirlpool chiller complete GW,Whirlpool,44.05,A Whirlpool complete GW chiller for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool chiller complete GW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/66/688266_wm.jpg,N,,,C00525615,Chiller,N,For refrigeration use,Complete version,,,,,,,,
7,P688263,Whirlpool compressor EGU 130HLR 220-240V/50HZ,Whirlpool,410.07,A Whirlpool EGU 130HLR 220 - 240V compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EGU 130HLR 220-240V/50HZ,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/63/688263_wm.jpg,N,,,C00309931,Compressor,N,For refrigeration use,220 to 240V 50Hz model,,,,,,,,
8,P688256,Whirlpool compressor EMX80CLC R600 SP,Whirlpool,128.82,A Whirlpool EMX80CLC compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EMX80CLC R600 SP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/56/688256_wm.jpg,N,,,484000000900,Compressor,N,For refrigeration use,Compatible with R600 SP,,,,,,,,
9,P611793,Copeland 611 fan assembly and cap,Copeland,1206.39,A Copeland 611 230V/50Hz fan assembly.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland 611 fan assembly and cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/93/NW-611793_wm.jpg,N,,,3276951,Fan Assembly,N,With Capacitor,,,,"230 VAC at 50 Hz, 1.85 A, 1P, 400 W",,,,,
