,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Setting Range,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Boiler Section,Boiler Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Range,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Voltage (V),Switch Type,Operating Temperature Range (C),Attachment 2,Attachment 3,Pack Quantity,Attachment 4,Attachment 5
0,P222441,Nest Pro 3rd Generation HF001631-GB PK,Nest,136.0,"Compatible with a wide range of central heating systems, this Nest 3rd generation thermostat in stainless steel can operate combi boilers, system and heat-only boilers, domestic hot water tanks and biomass boilers and is also compatible with hydronic underfloor systems, air-source and ground-source heat pumps (heating only), zoned systems and heating systems with Open Therm technology. Connecting via WiFi to control the temperature from your smartphone, tablet or laptop via the Nest App, this thermostat puts you in control of your home from anywhere in the world. With the ability to recognise the average temperature of the home, Nest uses sensors to automatically adjust when the house is empty for reduced waste and lower bills.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Nest Pro 3rd Generation HF001631-GB PK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/41/NW-222441_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nest_LearningThermostat_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P336357,"Nest AT3000GB stand for learning thermostat, 3rd generation 331 x 222 x 105mm White",Nest,29.94,"An easy solution for hiding the power cable for your Nest thermostat, this Nest white stand has a clean, simple design and offers easy installation, simply peeling away the film on the base to stick to any clean, flat surface.","Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Nest AT3000GB stand for learning thermostat, 3rd generation 331 x 222 x 105mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/57/NW-336357_wm.jpg,,N,NA,x  x,AT3000GB,Thermostat Stand,N,Domestic,Simple Design,Compatible with all Nest 3rd Generation Learning Thermostats,,,,,,,,,,,,,,,,,,,,,,,
2,P336338,Hive mini heating thermostat,Hive,117.43,"Compact and sleekly designed, the Hive mini heating thermostat offers all the benefits of smart heating in a reduced size package. Suitable for connection to most LPG boilers, oil boilers with existing thermostats or programmers and electric boilers with standard thermostats, Hive incorporates a wide range of features including instant alerts, frost protection, geolocation and holiday mode. App-connected, this clever thermostat allows homeowners to control their home heating from anywhere in the world.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Hive mini heating thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/38/336338_wm.jpg,,N,,,852031,,N,,,,Control Panel,"Most gas and LPG boilers, oil boilers (if they have an existing thermostat or programmer), electric boilers with a standard thermostat and / or programmer",,,,,,,,,,,,,,,,,,,,,
3,P222444,Hive active heating and hot water thermostat V3 pack,Hive,128.31,"Suitable for boilers with separate hot water tanks, this Hive thermostat can be easily controlled via your smartphone or smart speaker making setting your comfort simple, whether from the comfort of your sofa or on your way home from the supermarket.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Hive active heating and hot water thermostat V3 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/26/336326_wm.jpg,,N,,,222444 PK,Thermostat,N,,"Suitable for gas & LPG systems, oil boilers and some electric boilers",Heating and Hot water schedules – set up to 6 daily time slots,Control Panel,Compatible with all boilers,Heating and Hot water Boost – for up to six hours,Geolocation – heating alerts when you leave or return home,Automatic Frost Protection – helps prevent frozen pipes,Child lock – set a pin lock on your app or thermostat,Holiday Mode – tell Hive your holiday dates and come back to a warm welcome,Hive Hub Included,,,,,,,,,,,,,,,
4,P300034,Honeywell Home EvoHome hw home evohome essential kit,Honeywell Home,440.85,"A smart programmable thermostat, the Honeywell Home EvoHome Wi-Fi connected thermostat essentials kit offers easy installation and ease of control either locally or remotely via the TCC app, allowing for comfort adjustment using a smartphone or tablet from wherever the homeowner may be. Extendable to a smart zoning solution, the EvoHome Wi-Fi controller is capable of controlling a total of twelve individual temperature zones as well as offering optional hot water control. This handy all-in-one kit provides you with everything you'll need for complete installation of a user-friendly system, including six controllers and adapters, a tabletop stand and even high grade batteries.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Honeywell Home EvoHome hw home evohome essential kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/300034_wm.jpg,,N,5-35°C,288 x 230 x 72 mm,ATP926G3001,Smart Thermostat Kit,N,Domestic Central Heating Systems,Includes white fascia and tabletop stand with plug-in power supply,With wireless relay box and 6x evohome radiator controllers,,,Alkaline batteries included,With 6x Danfoss RA series adapters,Instructions and user guide included,Offers 7 and 5/2 day bespoke scheduling with up to 6x time periods a day,With 5/2 pre-configured schedule included,Scheduling can be done via thermostat or using TCC-app,EvoHome,Simple hand-off allows homeowner to complete Wi-Fi connection,"Integrates with Google Assistant, Amazon Alexa and IFTTT",Large full-colour touchscreen interface for easy schedule changing and override,Inbuilt optimisation programming for efficient control,Easy wireless installation with no effect on existing pipework or decor,Compatible with 24 – 230V on/off OpenTherm appliances such as gas or combi boilers or heat pumps,,,,,,,,
5,P336336,Hive hubless active heating tstat v3,Hive,100.53,"Giving homeowners total control over their heating from anywhere, this Hive thermostat can be controlled via the Hive app. This means users can switch their heating on or adjust their home at the touch of a button from their device, whether settled in bed or on their way home from a holiday.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Hive hubless active heating tstat v3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/36/336336_wm.jpg,,N,,,851811,Thermostat,N,,Suitable for combi boilers,Control via smartphone or device,Control Panel,,Compatible with Hive app,Professional installation required,,,,,,,,,,,,,,,,,,,
6,P336364,Nest Learning 3Rd Generation Sst-Pro,Nest,157.49,"Controlling your home's heating in the most conveninent way possible, the Google Nest 3rd Generation SST Pro thermostat allows for control of a system using a smartphone or tablet or via a digital voice assistant like Amazon's Alexa.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Nest Learning 3Rd Generation Sst-Pro,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/64/336364_wm.jpg,,N,,80mm x 80mm,HF001631-GB,Thermostat,N,Domestic,Incorporates OpenTherm technology,Compatible with iOS and Android apps,,,Can be used with voice assistants including Amazon Alexa,,,,,,,,,,,,,,,,,,,,
7,P222048,Tado add on V3P-4SRT01-TC-ML           smart radiator thermostat 4 pack,Tado,196.87,"Helping to reduce cost and improve comfort, this pack of four tado° Smart Radiator thermostats is designed for use with a tado° starter kit (V2, V3 or V3+) complete with internet bridge for complete Wi-Fi connectivity. Giving you the ability to control individual radiators via app or voice control, these thermostats allow you to control the comfort in individual rooms and heating zones so you'll enjoy precision comfort throughout the house without waste and unnecessary cost. And with an app that gives you a complete overview of your system you've got all the information you need to streamline and optimise your heating day to day. With a universal design, these tado° radiator thermostats are suitable for vertical or horizontal mounting to suit any radiator design.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Tado add on V3P-4SRT01-TC-ML           smart radiator thermostat 4 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/48/222048_wm.jpg,,N,0º - 25º,174x 174 x 142,10320967,Smart Thermostat,N,Smart Heating,"Compatible with Amazon Alexa, Apple HomeKit and Google Home",Connects to iOS and Android apps,,,0 - 25°C temperature range,With electronic sensor,"7-day, 5/2-day or 24 hour programmable",Multiple on/offs available over 7 days,With LED display,Easy vertical or horizontal installation,add on,Requires smart hub and internet connection,,,,,,3,Electronic TRV,-5º to 45º,,,,,
8,P333526,Salus electronic radio frequency thermostat,Salus,48.87,"Designed as a replacement for the RT300RF, this Salus electronic RF digital room thermostat is easy to use thanks to its clear LCD and intuitive user interface, making temperature sensing and control simple. This thermostat offers a range of useful features, including sleep mode and frost protection, while a 30M range allows for heating control from almost anywhere in the home.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Salus electronic radio frequency thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/26/NW-333526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/333526_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salus_RT310_Quick_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/333526_Installation.pdf,,,
9,P222046,Tado wireless V3P-SK-WTS01WRP01IB01-TC-UK            starter kit smart thermostat V3+,Tado,133.33,"Controlling your home heating in whatever way best suits your lifestyle, the tado° Smart Heating thermostat is compatible with a wide range of apps and digital assistants, including Amazon Echo and Alexa, Siri and Apple HomeKit. This gives you all the flexibility you need to control and optimise your home heating via voice commands, using IFTTT applets for use with third party applications or through the eNet Smart Home system. Helping to save on energy to reduce heating bills, the tado° wireless smart thermostat offers hot water control as well as compatibility with conventional, system or combi boilers as well as select oil boilers and underfloor heating systems. A complete starter kit, this smart heating set includes an internet bridge for connection to your router via RF.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Tado wireless V3P-SK-WTS01WRP01IB01-TC-UK            starter kit smart thermostat V3+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/46/222046_wm.jpg,,N,0º - 25º,174x 174 x 110,10320963,Smart Thermostat,N,Smart Heating,"Compatible with Amazon Alexa, Apple HomeKit and Google Home",Connects to iOS and Android apps,,,5 - 25°C temperature range,Compatible with all boilers,Battery powered thermostat,Receiver is mains powered,With LED display,With Geofencing,wireless,Includes open window detection,Smart hub included,Requires internet connection,,,,230,Relay,-5º to 45º,,,,,
