,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Warranty,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
0,P675282,Fujitsu AUYG24LVLA R410A Compact Cassette 7.1KW,Fujitsu,672.81,"The Fujitsu indoor cassette air conditioning unit is suitable for both residential and commercial use, in shops, meeting rooms, hotels, gyms and restaurants. With a two stage turbo fan and quiet operation, this unit also includes the IR seven day programmable timer and user-friendly 24 hour control.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUYG24LVLA R410A Compact Cassette 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/82/NW-675279_675282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Systems_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P697513,Fujitsu AUXG22KVLA R32 Compact Cassette Indoor Unit 6.0KW,Fujitsu,432.35,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG22KVLA R32 Compact Cassette Indoor Unit 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P691494,Fujitsu VRF AUXB018GLEH Compact Cassette Unit 5.6KW,Fujitsu,767.01,"Offering a compact, quiet and highly efficient design, the Fujitsu Airstage VRF AUXB018GLEH 5.6kW compact cassette indoor air conditioning unit is a modern choice for contemporary spaces. Units in this range are attractively designed and have been manufactured for ease of installation and maintenance. Airstage air con units are also effortless to operate, making achieving the interior climate that suits you simple.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu VRF AUXB018GLEH Compact Cassette Unit 5.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/94/691494_wm.jpg,,VRF,26,1,R410a,N,570,4.2,6.3,41,3.2,5.6,710,111,27,3,1/2,1/4,AUXB018GLEH,VRF Indoor,N,Single phase,Compact design,230V 50Hz,Cooling capacity of 5.6kW,Heating capacity of 6.3kW,Air flow rate of 400 - 710M3/h,Suitable for R410A refrigerant,,,,,,
3,P650378,Fujitsu VRF AUXK034GLEH 10.0KW Cassette Indoor Unit,Fujitsu,1014.6,"The user-friendly Fujitsu Airstage VRF 10k cassette indoor air conditioning unit is designed for excellent efficiency and reduced noise during operation. Simple to install and requiring minimal maintenance, this unit is compact and attractive, ensuring it suits most interior spaces. With a VRF fan coil and R410A refrigerant compatibility, the Airstage supplies economical and reliable cooling and heating for an always comfortable internal environment.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu VRF AUXK034GLEH 10.0KW Cassette Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/78/650378_wm.jpg,,VRF,29.5,1,R410a,N,840,7.4,11.2,39,5.9,10.0,1440,1150,33,5,5/8,3/8,AUXK034GLEH,Full size cassette,N,Single phase,230V 50Hz,Cooling capacity of 10kW,Heating capacity of 11.2kW,Air flow rate of 1150 to 1440M³/h,Compatible with R410A refrigerant,,,,,,,
4,P650377,Fujitsu VRF AUXK030GLEH 9.0KW Cassette Indoor Unit,Fujitsu,937.31,"Suitable for use on VRF systems, the Fujitsu VRF AUXK030GLEH 9.0kW large cassette indoor unit offers individual louvre control for perfect cooling.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu VRF AUXK030GLEH 9.0KW Cassette Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/650380_wm.jpg,,VRF,29.5kgs,1,R410a,N,840,,,,,,,,,3,15.88 mm,9.52 mm,AUXK030GLEH,Air Conditioner,N,Circular flow design,With individual louvre control,Offers uniform cooling,,,,,,,,,,
5,P691492,Fujitsu VRF AUXB012GLEH Compact Cassette Unit 3.6KW,Fujitsu,687.1,"Attractively designed to blend into most interior decors, the highly efficient Fujitsu AIRSTAGE VRF AUXB012GLEH 3.6kW compact cassette indoor air conditioning unit provides both ease of installation and straightforward maintenance. Quiet in operation and simple to use, this compact unit is part of a wide range designed to suit a variety of climate control needs.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu VRF AUXB012GLEH Compact Cassette Unit 3.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/92/691492_wm.jpg,,VRF,150 kg,1,R410a,N,570,2.7,4.1,37 d B(A),2.3,3.6,10,6.5,27 d B(A),5,1/2 inch,1/4 inch,AUXB012GLEH,VRF Compact Cassette,N,Low noise design for less disturbance during use,Easy to install and maintain,Single phase,230V voltage,50Hz frequency,Offers a cooling capacity of 3.6kW,Offers a heating capacity of 4.1kW,3 Years (Standard),Air flow rate of 390 to 600m3/h,Compatible with R410A refrigerant,3 year warranty,,
6,P678746,Fujitsu AUYG36LRLE R410A Cassette 10KW,Fujitsu,712.79,"The smart Fujitsu AUYG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUYG36LRLE R410A Cassette 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/46/NW-678746_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_AUYG30-36LRLE_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Systems_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AUYG30-54LRLE_Install.pdf
7,P697519,Fujitsu AUXG22KRLB R32 Indoor Circular Flow Cassette Unit 6KW,Fujitsu,485.24,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG22KRLB R32 Indoor Circular Flow Cassette Unit 6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P697508,Fujitsu AUXG09KVLA R32 Compact Cassette Indoor Unit 2.5KW,Fujitsu,300.12,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG09KVLA R32 Compact Cassette Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/08/NW-697508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P697511,Fujitsu AUXG14KVLA R32 Compact Cassette Indoor Unit 4.2KW,Fujitsu,373.92,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG14KVLA R32 Compact Cassette Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
