,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Flow Rate,Warranty,Depth (mm),Enclosure Class,Standards,Feature 1,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Application,Connection Size,Connection Type,Max Pressure,Minimum Operating Temperature,Maximum Operating Temperature,Feature 2,Feature 3,Attachment 4,Fuel Type,Feature 4,Feature 5,Dimensions (L x W x D),Model For Use With,Boiler Range,Connection,Thread Standard,Material,Thread Size,Weight,Operating Temperature,Feature 6,Feature 7,Phase,Output,Litres,Capacity Litre,Attachment 5,Attachment 6,Pack Quantity,For Use With,Feature 8,Feature 9,Voltage (V),Frequency,Pressure Rating
0,P493495,Caleffi Multibloc Multibloc 3/6 BAR W/ LOOSE NUT,Caleffi,65.64,"This Range multibloc 3 to 6 bar inlet control valve is suitable for fitting in Range Tribune HE (Caleffi control gear) cylinders.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Caleffi Multibloc Multibloc 3/6 BAR W/ LOOSE NUT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/95/493495_wm.jpg,Multibloc,N,Control Panel,512-388-0801,Control Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF11306,Pump House SOAKAWAY boiler condensate soak away kit,Pump House,23.75,"Suitable for the removal of condensate where a drain system isn’t available, this Pump House 22/32/40mm condensate boiler soakaway system kit is made of plastic and fitted with simple push-fit connections.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Pump House SOAKAWAY boiler condensate soak away kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/06/NW-F11306_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PH_SOAK-1_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/PH_SOAK-1_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PH_SOAK-1_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P472050,Grant 20030953 Pump Rdb Bio(To B10 Mix),Grant,99.18,This Grant Oil pump works with one pipe or two pipe oil feed systems.,Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Grant 20030953 Pump Rdb Bio(To B10 Mix),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-472050_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Grant_VortexEco_UtilitySystem_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P472047,Grant pump R40 bio to B10 mix,Grant,97.07,"This Grant pump is compatible with gas oil, kerosene and 20% blend biofuels.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Grant pump R40 bio to B10 mix,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-472047_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Blue_Int_Combi_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P419410,Satronic short photocell (Each),Satronic,15.6,"Used to monitor the presence of an oil flame, this Satronic MZ770S photocell is compatible with TF830, 832, 834 and 836 burner control units.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Satronic short photocell (Each),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/10/NW-419410_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MZ770_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P797355,Andrews heat exchanger,Andrews,2287.51,"This Andrews brand heat exchanger is designed for use in CWH and LCWH appliances. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/55/NW-797355_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P797367,Andrews controller,Andrews,825.88,"This Andrews control panel is suitable for use on a range of Andrews CWH and LCWH units. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/67/NW-797367_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P798796,Andrews hot surface igniter,Andrews,185.31,"A genuine Andrews spare, this hot surface igniter is designed for use in the brand's CWH and LCWH units. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews hot surface igniter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/96/NW-798796_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P796856,Baxi UPM3-6 pump kit UPM3-6,Baxi,412.74,"This Baxi UPM3-6 pump kit can be used in For Platinum 24 Combi ERP, Platinum 28 Combi ERP, Platinum 33 Combi ERP, Combi 224 and Combi 228 boilers",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Baxi UPM3-6 pump kit UPM3-6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/56/796856_wm.jpg,,N,,7713520,Pump Kit,N,,,,N/A,12 Months,170,N/A,N/A,"For Platinum 24 Combi ERP, Platinum 28 Combi ERP, Platinum 33 Combi ERP, Combi 224, Combi 228 boilers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P797365,Andrews fan,Andrews,381.79,"A genuine Andrews part, this fan is suitable for CWH and LCWH range boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/65/NW-797365_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
