,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Type,Diameter,Range,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Colour,Wall Thickness (mm),Pack Quantity,Connection Type 1,End Connection B size,Operating Temperature,Gender,Feature 10,Material Type,Warranty,Grade,Connection Type 2,Angle
0,PM20781,"Georg Fischer GF-280 hex nipple 1.1/4"" black",Georg Fischer,9.67,"This Georg Fischer GF-280 1 1/4 x 1 1/4"" hexagon nipple is made of malleable cast iron and incorporates BSP tapered connections. Durable and highly resistant to mechanical stress and temperatures, this fitting is safe for use in a wide range of settings and offers universal, standardised thread jointing technology. With full end load capability, this fitting ensures fast and reliable connection of steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Georg Fischer GF-280 hex nipple 1.1/4"" black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/83/NW-M20778_M20783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_280_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PM10484,"Crane 161 malleable square tee 1/2"" Black",Crane,3.83,"This Crane 161 tee is made of malleable iron with 1/2 x 1/2 x 1/2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Crane 161 malleable square tee 1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/91/NW-M10484_M10491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Crane_161_0-5_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM10177,"Crane 144 malleable hex nipple 2""",Crane,17.43,"This Crane 144 octagon nipple is made of malleable iron with 2 x 2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Crane 144 malleable hex nipple 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/77/NW-M10172_M10177_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Crane_144_2_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PM10150,"Crane 140 malleable bush 4 x 3"" Black",Crane,71.79,"This Crane 140 hexagon bush is made of malleable iron with 4 x 3"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Crane 140 malleable bush 4 x 3"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/50/NW-M10148_M10150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PM11128,"Crane 257 malleable male x female union 2"" Black",Crane,62.51,"This Crane 257 union is made of malleable iron with 2 x 2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Crane 257 malleable male x female union 2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/28/NW-M11123_M11128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PM22905,"Georg Fischer GF-340 female x female galvanised union 1""",Georg Fischer,28.18,"This Georg Fischer GF-340 1 x 1"" union taper seat is made of malleable cast iron and incorporates BSP tapered connections. Durable and highly resistant to mechanical stress and temperatures, this fitting is safe for use in a wide range of settings and offers universal, standardised thread jointing technology. With full end load capability, this fitting ensures fast and reliable connection of steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Georg Fischer GF-340 female x female galvanised union 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/09/NW-M22903_M22909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_340_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PM20803,"Georg Fischer GF-291 770291104 hollow plug 1/2"" Black",Georg Fischer,2.19,"Made of malleable cast iron, the Georg Fischer GF-291 1/2"" plain plug is designed with BSP tapered connections. Resistant to mechanical stress and extremes of temperature, this robust fitting can be used safely in a variety of settings. Using universal, standardised thread jointing technology, this plug offers full end load capability and can be used to quickly and reliably connect steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Georg Fischer GF-291 770291104 hollow plug 1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/03/NW-M20803_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_291_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PM27291,"Continental CPE-341 malleable male to female union taper seat 1-1/4"" Black",Continental,24.01,"Fitted with threaded connections, this CPE 1 1/4"" male x female union is a malleable iron pipe fitting designed for reliable use in medium and low pressure pipelines.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Continental CPE-341 malleable male to female union taper seat 1-1/4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/95/M27290_95_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Product Data Sheet - Malleable Range.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PM22763,"Georg Fischer GF-270 galvanised socket 1/2""",Georg Fischer,4.73,"This Georg Fischer GF-270 1/2 x 1/2"" socket is made of malleable cast iron and incorporates BSP tapered connections. Durable and highly resistant to mechanical stress and temperatures, this fitting is safe for use in a wide range of settings and offers universal, standardised thread jointing technology. With full end load capability, this fitting ensures fast and reliable connection of steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Georg Fischer GF-270 galvanised socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/68/NW-M22763_M22768_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_270_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PM22630,"Georg Fischer GF-241 galvanised reducer bush 1/2 x 3/8""",Georg Fischer,3.78,"This Georg Fischer GF-241 1/2 x 3/8"" reducing bush is made of malleable cast iron and incorporates BSP tapered connections. Durable and highly resistant to mechanical stress and temperatures, this fitting is safe for use in a wide range of settings and offers universal, standardised thread jointing technology. With full end load capability, this fitting ensures fast and reliable connection of steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Georg Fischer GF-241 galvanised reducer bush 1/2 x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/30/NW-M22629_M22630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_241_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PM26998,"Continental CPE-291S malleable solid plug 1-1/2"" Black",Continental,12.75,"Manufactured in malleable iron, this CPE 1 1/2"" square solid plug with BSP threaded male connections can be used to block off unnecessary outlets.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Continental CPE-291S malleable solid plug 1-1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/98/M26998_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Product Data Sheet - Malleable Range.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PM10143,"Crane 140 malleable bush 3 x 2"" Black",Crane,31.53,"This Crane 140 hexagon bush is made of malleable iron with 3 x 2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Malleable Fittings/Carbon Steel Malleable Fittings.csv -> Crane 140 malleable bush 3 x 2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/44/NW-M10143_M10144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
