,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Type,Hazardous,End Connection A size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Attachment 3,Attachment 4,Attachment 5,Colour,Diameter,Range,Approvals,Equal / Unequal,Angle,End Connection B size,End Connection C size,Connection Type 2,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 6,Feature 5,Weight,Feature 6,Feature 7,Feature 8,Feature 9,Wall Thickness (mm),Grade,Pack Quantity,Operating Temperature,Gender,Feature 10,Warranty,Material Type,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Attachment 7,Attachment 8
0,PM43272,Geberit Mapress loose flanges PN10/16 185mm,Geberit,75.04,"Made of non-alloy steel, this Geberit Mapress 185mm PN10/16 loose flange is finished in zinc-plating. It offers compatibility with Geberit Mapress copper flanged stubs with plain ends.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Geberit Mapress loose flanges PN10/16 185mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/74/NW-M43272_M43274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_Steel_Flange_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PL80555,Geldbach screwed flange PN16 100mm,Geldbach,39.19,This Geldbach BS4504/13 100mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Geldbach screwed flange PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/55/NW-L80555_wm.jpg,,,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10016/400,Screwed Flange,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM19355,"Geberit Mapress 25339 male iron straight union connector 42mm x 1.1/2"" Carbon Steel",Geberit,51.2,"Made of carbon steel, this Geberit Mapress 42mm x 1 1/2"" straight union connector incorporates male thread connections.This fitting is suitable for use with heating water, cooling water with or without anti-freeze agent, with remote network heating water 120°C and extinguishing water (wet). It is also suitable for sprinklers (wet), compressed air (oil purity class 3) and inert gases including nitrogen. It is ideal for technical building systems, industry and shipbuilding applications.Geberit Mapress carbon steel pressing systems offer a high quality and economical alternative to welded, soldered or screwed piping systems.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Geberit Mapress 25339 male iron straight union connector 42mm x 1.1/2"" Carbon Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M19355_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_ApplicationOverview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_CS_Pipe_App_Overview.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_CSAdaptor_Union_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PM19262,"Geberit Mapress 21703 male iron straight connector 15mm x 1/2"" Carbon Steel",Geberit,7.62,"Made of carbon steel, this Geberit Mapress 15mm x 1/2"" straight connector incorporates press-fit to male thread end connections.This fitting is suitable for use with heating water, cooling water with or without anti-freeze agent, with remote network heating water 120°C and extinguishing water (wet). It is also suitable for sprinklers (wet), compressed air (oil purity class 3) and inert gases including nitrogen. It is ideal for technical building systems, industry and shipbuilding applications.Geberit Mapress carbon steel pressing systems offer a high quality and economical alternative to welded, soldered or screwed piping systems.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Geberit Mapress 21703 male iron straight connector 15mm x 1/2"" Carbon Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M19262_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_ApplicationOverview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_CS_Adaptor_Male_Tech.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_CS_Pipe_App_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PL80540,Geldbach screwed flange PN16 50m,Geldbach,21.74,This Geldbach BS4504/13 50mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Geldbach screwed flange PN16 50m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/40/NW-L80540_wm.jpg,,,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05016/400,Screwed Flange,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P503642,"Pegler VSH XPress male iron straight connector 67mm x 2.1/2"" Carbon Steel",Pegler,152.18,"Made of carbon steel, this VSH Xpress SC3 66.7mm x 2 1/2"" connector with press-fit x BSP male taper thread end connections incorporates Leak Before Press technology, developed to provide instant identification of joints that are correctly assembled but mistakenly unpressed, saving on time, money and expensive call-outs. Optimised for use as part of an Xpress system, this fitting is manufactured from EN 100-27-1S205G2T (formerly known as RSt 34-2) carbon steel and is suitable for use in vented and unvented closed circuit heating systems or in chilled water systems.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Pegler VSH XPress male iron straight connector 67mm x 2.1/2"" Carbon Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/42/NW-503642_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VSH_Xpress_SC3_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/VSH_XPress_Carbon_Flow_Charts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/VSH_XPress_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PeglerYorkshire_VSH_XPress_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PM10177,"Crane 144 malleable hex nipple 2""",Crane,17.43,"This Crane 144 octagon nipple is made of malleable iron with 2 x 2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Crane 144 malleable hex nipple 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/77/NW-M10172_M10177_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Crane_144_2_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PM10150,"Crane 140 malleable bush 4 x 3"" Black",Crane,71.79,"This Crane 140 hexagon bush is made of malleable iron with 4 x 3"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Crane 140 malleable bush 4 x 3"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/50/NW-M10148_M10150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PM11128,"Crane 257 malleable male x female union 2"" Black",Crane,62.51,"This Crane 257 union is made of malleable iron with 2 x 2"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Crane 257 malleable male x female union 2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/28/NW-M11123_M11128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PM22905,"Georg Fischer GF-340 female x female galvanised union 1""",Georg Fischer,28.18,"This Georg Fischer GF-340 1 x 1"" union taper seat is made of malleable cast iron and incorporates BSP tapered connections. Durable and highly resistant to mechanical stress and temperatures, this fitting is safe for use in a wide range of settings and offers universal, standardised thread jointing technology. With full end load capability, this fitting ensures fast and reliable connection of steel, PE, lead and butt-weld steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Pipe Fittings.csv -> Georg Fischer GF-340 female x female galvanised union 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/09/NW-M22903_M22909_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Cast_Iron_Fittings_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_340_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
